CD_NOM,GROUPTAXA,NOM_VALIDE
97956,Angiospermes,Falcaria vulgaris
189874,Angiospermes,Bifora
85997,Angiospermes,Bifora radians
85999,Angiospermes,Bifora testiculata
191143,Angiospermes,Coriandrum
92465,Angiospermes,Coriandrum sativum
606925,Angiospermes,Krubera
610672,Angiospermes,Krubera peregrina
715619,Angiospermes,Anisosciadium
717084,Angiospermes,Anisosciadium orientale
192037,Angiospermes,Echinophora
95697,Angiospermes,Echinophora spinosa
968098,Angiospermes,Echinophora tenuifolia
968099,Angiospermes,Echinophora tenuifolia subsp. tenuifolia
191084,Angiospermes,Conium
92237,Angiospermes,Conium maculatum
612445,Angiospermes,Conium maculatum var. maculatum
621306,Angiospermes,Conium maculatum var. viride
191153,Angiospermes,Coristospermum
92486,Angiospermes,Coristospermum ferulaceum
92487,Angiospermes,Coristospermum lucidum
133431,Angiospermes,Coristospermum lucidum subsp. lucidum
191669,Angiospermes,Dethawia
94653,Angiospermes,Dethawia splendens
133806,Angiospermes,Dethawia splendens subsp. splendens
133805,Angiospermes,Dethawia splendens subsp. cantabrica
192549,Angiospermes,Ferulago
98032,Angiospermes,Ferulago campestris
606901,Angiospermes,Gasparrinia
609224,Angiospermes,Gasparrinia peucedanoides
193706,Angiospermes,Katapsuxis
104456,Angiospermes,Katapsuxis silaifolia
193756,Angiospermes,Kundmannia
104713,Angiospermes,Kundmannia sicula
194104,Angiospermes,Levisticum
105857,Angiospermes,Levisticum officinale
715622,Angiospermes,Ligusticum
982227,Angiospermes,Ligusticum scothicum
762190,Angiospermes,Ligusticum scothicum subsp. scothicum
194689,Angiospermes,Meum
108454,Angiospermes,Meum athamanticum
194946,Angiospermes,Mutellina
610917,Angiospermes,Mutellina adonidifolia
108918,Angiospermes,Mutellina corsica
195503,Angiospermes,Opopanax
110735,Angiospermes,Opopanax chironium
195660,Angiospermes,Pachypleurum
112011,Angiospermes,Pachypleurum mutellinoides
196623,Angiospermes,Prangos
115797,Angiospermes,Prangos trifida
196923,Angiospermes,Ptychotis
116339,Angiospermes,Ptychotis saxifraga
613124,Angiospermes,Ptychotis saxifraga var. saxifraga
613585,Angiospermes,Ptychotis saxifraga var. bipinnata
197651,Angiospermes,Silaum
123367,Angiospermes,Silaum silaus
613607,Angiospermes,Silaum silaus var. silaus
613609,Angiospermes,Silaum silaus var. angustifolium
611456,Angiospermes,Silaum tenuifolium
189851,Angiospermes,Berula
85798,Angiospermes,Berula erecta
190362,Angiospermes,Caropsis
608144,Angiospermes,Caropsis verticillato-inundata
190829,Angiospermes,Cicuta
91199,Angiospermes,Cicuta virosa
193163,Angiospermes,Helosciadium
101217,Angiospermes,Helosciadium crassipes
101220,Angiospermes,Helosciadium inundatum
160950,Angiospermes,Helosciadium x moorei
101221,Angiospermes,Helosciadium nodiflorum
101223,Angiospermes,Helosciadium repens
195386,Angiospermes,Oenanthe
109861,Angiospermes,Oenanthe aquatica
109864,Angiospermes,Oenanthe crocata
109869,Angiospermes,Oenanthe fistulosa
109870,Angiospermes,Oenanthe fluviatilis
109871,Angiospermes,Oenanthe foucaudii
109874,Angiospermes,Oenanthe globulosa
611072,Angiospermes,Oenanthe javanica
109881,Angiospermes,Oenanthe lachenalii
109890,Angiospermes,Oenanthe peucedanifolia
109893,Angiospermes,Oenanthe pimpinelloides
109898,Angiospermes,Oenanthe silaifolia
606961,Angiospermes,Perideridia
610861,Angiospermes,Perideridia americana
610860,Angiospermes,Perideridia gairdneri
197710,Angiospermes,Sium
123960,Angiospermes,Sium latifolium
123977,Angiospermes,Sium sisarum
715618,Angiospermes,Trocdaris
127864,Angiospermes,Trocdaris verticillatum
160250,Angiospermes,Bubon macedonicum
196286,Angiospermes,Pimpinella
113554,Angiospermes,Pimpinella anisum
611395,Angiospermes,Pimpinella eriocarpa
113603,Angiospermes,Pimpinella x intermedia
113577,Angiospermes,Pimpinella lutea
113579,Angiospermes,Pimpinella major
113586,Angiospermes,Pimpinella peregrina
611396,Angiospermes,Pimpinella puberula
113596,Angiospermes,Pimpinella saxifraga
138811,Angiospermes,Pimpinella saxifraga subsp. saxifraga
138805,Angiospermes,Pimpinella saxifraga subsp. alpina
612282,Angiospermes,Pimpinella saxifraga subsp. nigra
113597,Angiospermes,Pimpinella siifolia
113599,Angiospermes,Pimpinella tragium
196247,Angiospermes,Physospermum
113346,Angiospermes,Physospermum cornubiense
196441,Angiospermes,Pleurospermum
114062,Angiospermes,Pleurospermum austriacum
189052,Angiospermes,Ammoides
82136,Angiospermes,Ammoides pusilla
190115,Angiospermes,Bunium
86982,Angiospermes,Bunium alpinum
132330,Angiospermes,Bunium alpinum subsp. corydalinum
132329,Angiospermes,Bunium alpinum subsp. alpinum
86983,Angiospermes,Bunium bulbocastanum
144832,Angiospermes,Bunium bulbocastanum var. bulbocastanum
718662,Angiospermes,Bunium bulbocastanum var. mediterraneum
144833,Angiospermes,Bunium bulbocastanum var. nanum
86997,Angiospermes,Bunium pachypodum
191268,Angiospermes,Crithmum
93190,Angiospermes,Crithmum maritimum
191407,Angiospermes,Cyclospermum
93723,Angiospermes,Cyclospermum leptophyllum
193809,Angiospermes,Lagoecia
104815,Angiospermes,Lagoecia cuminoides
197695,Angiospermes,Sison
123773,Angiospermes,Sison amomum
123785,Angiospermes,Sison segetum
198545,Angiospermes,Trachyspermum
126943,Angiospermes,Trachyspermum ammi
189255,Angiospermes,Anthriscus
82931,Angiospermes,Anthriscus caucalis
143623,Angiospermes,Anthriscus caucalis var. caucalis
143624,Angiospermes,Anthriscus caucalis var. gymnocarpa
82932,Angiospermes,Anthriscus cerefolium
143625,Angiospermes,Anthriscus cerefolium var. cerefolium
143627,Angiospermes,Anthriscus cerefolium var. trichocarpa
82943,Angiospermes,Anthriscus nitida
82952,Angiospermes,Anthriscus sylvestris
131460,Angiospermes,Anthriscus sylvestris subsp. sylvestris
143636,Angiospermes,Anthriscus sylvestris var. sylvestris
143635,Angiospermes,Anthriscus sylvestris var. latisecta
131456,Angiospermes,Anthriscus sylvestris subsp. alpina
143632,Angiospermes,Anthriscus sylvestris var. alpina
143634,Angiospermes,Anthriscus sylvestris var. angustisecta
143633,Angiospermes,Anthriscus sylvestris var. torquata
189483,Angiospermes,Artedia
160518,Angiospermes,Artedia squamata
189595,Angiospermes,Athamanta
84962,Angiospermes,Athamanta cretensis
610855,Angiospermes,Athamanta turbith
190410,Angiospermes,Caucalis
89415,Angiospermes,Caucalis platycarpos
190580,Angiospermes,Chaerophyllum
90328,Angiospermes,Chaerophyllum aureum
90330,Angiospermes,Chaerophyllum bulbosum
621692,Angiospermes,Chaerophyllum calabricum
90335,Angiospermes,Chaerophyllum elegans
90338,Angiospermes,Chaerophyllum hirsutum
90344,Angiospermes,Chaerophyllum nodosum
90356,Angiospermes,Chaerophyllum temulum
90359,Angiospermes,Chaerophyllum villarsii
613488,Angiospermes,Chaerophyllum villarsii var. cicutariiforme
613486,Angiospermes,Chaerophyllum villarsii var. villarsii
191095,Angiospermes,Conopodium
92242,Angiospermes,Conopodium majus
718333,Angiospermes,Conopodium majus subsp. majus
92245,Angiospermes,Conopodium pyrenaeum
191355,Angiospermes,Cuminum
93564,Angiospermes,Cuminum cyminum
191573,Angiospermes,Daucus
94497,Angiospermes,Daucus aureus
611233,Angiospermes,Daucus bicolor
94503,Angiospermes,Daucus carota
133731,Angiospermes,Daucus carota subsp. carota
613496,Angiospermes,Daucus carota var. carota
