LEVEL,LB_CODE,LB_HAB_FR,CD_HAB,EUNIS
C,C3.4132,Gazons à Littorelle des dépressions interdunaires,17570,C3.4132-Gazons à Littorelle des dépressions interdunaires
C,C3.4133,Gazons à <em>Pilularia</em>,17571,C3.4133-Gazons à <em>Pilularia</em>
C,C3.4134,Communautés à <em>Juncus bulbosus</em>,17572,C3.4134-Communautés à <em>Juncus bulbosus</em>
C,C3.4135,Communautés à <em>Scirpus fluitans</em>,17573,C3.4135-Communautés à <em>Scirpus fluitans</em>
C,C3.4136,Communautés à <em>Apium inundatum</em>,17576,C3.4136-Communautés à <em>Apium inundatum</em>
C,C3.414,Gazons riverains à <em>Baldellia</em>,10953,C3.414-Gazons riverains à <em>Baldellia</em>
C,C3.415,Gazons riverains à Canche des rives,10954,C3.415-Gazons riverains à Canche des rives
C,C3.42,Communautés amphibies méditerranéo-atlantiques,4993,C3.42-Communautés amphibies méditerranéo-atlantiques
C,C3.421,Communautés amphibies rases méditerranéennes,10955,C3.421-Communautés amphibies rases méditerranéennes
C,C3.4211,Communautés terrestres à Isoète,17578,C3.4211-Communautés terrestres à Isoète
C,C3.4212,Gazons méditerranéens aquatiques à Isoète,17579,C3.4212-Gazons méditerranéens aquatiques à Isoète
C,C3.4214,Gazons méditerranéens à <em>Cyperus</em>,17581,C3.4214-Gazons méditerranéens à <em>Cyperus</em>
C,C3.4215,Gazons méditerranéens à <em>Fimbristylis</em>,17582,C3.4215-Gazons méditerranéens à <em>Fimbristylis</em>
C,C3.4217,Communautés à Spiranthe et Mouron,17584,C3.4217-Communautés à Spiranthe et Mouron
C,C3.4218,Communautés méditerranéennes amphibies à petites herbacées,17585,C3.4218-Communautés méditerranéennes amphibies à petites herbacées
C,C3.4219,Gazons ras méditerranéens à <em>Scirpus</em>,17586,C3.4219-Gazons ras méditerranéens à <em>Scirpus</em>
C,C3.421A,Gazons méditerranéens à <em>Eleocharis</em>,17587,C3.421A-Gazons méditerranéens à <em>Eleocharis</em>
C,C3.422,Grandes communautés amphibies méditerranéennes,10967,C3.422-Grandes communautés amphibies méditerranéennes
C,C3.423,Gazons méditerranéens amphibies à Crypsis,10968,C3.423-Gazons méditerranéens amphibies à Crypsis
C,C3.44,Formations des eaux continentales salées et saumâtres à <em>Eleocharis parvula</em> et <em>Eleocharis acicularis</em>,5012,C3.44-Formations des eaux continentales salées et saumâtres à <em>Eleocharis parvula</em> et <em>Eleocharis acicularis</em>
C,C3.45,Formations à <em>Nasturtium officinale</em> (<em>Rorippa nasturtium-aquaticum</em>),5013,C3.45-Formations à <em>Nasturtium officinale</em> (<em>Rorippa nasturtium-aquaticum</em>)
