CD_NOM,FAMILLE,NOM_VALIDE
109898,Apiaceae,Oenanthe silaifolia
606961,Apiaceae,Perideridia
610861,Apiaceae,Perideridia americana
610860,Apiaceae,Perideridia gairdneri
197710,Apiaceae,Sium
123960,Apiaceae,Sium latifolium
123977,Apiaceae,Sium sisarum
715618,Apiaceae,Trocdaris
127864,Apiaceae,Trocdaris verticillatum
160250,Apiaceae,Bubon macedonicum
196286,Apiaceae,Pimpinella
113554,Apiaceae,Pimpinella anisum
611395,Apiaceae,Pimpinella eriocarpa
113603,Apiaceae,Pimpinella x intermedia
113577,Apiaceae,Pimpinella lutea
113579,Apiaceae,Pimpinella major
113586,Apiaceae,Pimpinella peregrina
611396,Apiaceae,Pimpinella puberula
113596,Apiaceae,Pimpinella saxifraga
138811,Apiaceae,Pimpinella saxifraga subsp. saxifraga
138805,Apiaceae,Pimpinella saxifraga subsp. alpina
612282,Apiaceae,Pimpinella saxifraga subsp. nigra
113597,Apiaceae,Pimpinella siifolia
113599,Apiaceae,Pimpinella tragium
196247,Apiaceae,Physospermum
113346,Apiaceae,Physospermum cornubiense
196441,Apiaceae,Pleurospermum
114062,Apiaceae,Pleurospermum austriacum
189052,Apiaceae,Ammoides
82136,Apiaceae,Ammoides pusilla
190115,Apiaceae,Bunium
86982,Apiaceae,Bunium alpinum
132330,Apiaceae,Bunium alpinum subsp. corydalinum
132329,Apiaceae,Bunium alpinum subsp. alpinum
86983,Apiaceae,Bunium bulbocastanum
144832,Apiaceae,Bunium bulbocastanum var. bulbocastanum
718662,Apiaceae,Bunium bulbocastanum var. mediterraneum
144833,Apiaceae,Bunium bulbocastanum var. nanum
86997,Apiaceae,Bunium pachypodum
191268,Apiaceae,Crithmum
93190,Apiaceae,Crithmum maritimum
191407,Apiaceae,Cyclospermum
93723,Apiaceae,Cyclospermum leptophyllum
193809,Apiaceae,Lagoecia
104815,Apiaceae,Lagoecia cuminoides
197695,Apiaceae,Sison
123773,Apiaceae,Sison amomum
123785,Apiaceae,Sison segetum
198545,Apiaceae,Trachyspermum
126943,Apiaceae,Trachyspermum ammi
189255,Apiaceae,Anthriscus
82931,Apiaceae,Anthriscus caucalis
143623,Apiaceae,Anthriscus caucalis var. caucalis
143624,Apiaceae,Anthriscus caucalis var. gymnocarpa
82932,Apiaceae,Anthriscus cerefolium
