TRIGRAMME,NOM_VALIDE,CD_NOM
Bancar,"Banisteriopsis carolina W.R.Anderson, 1999","733988"
Excpro,"Excentradenia propinqua (W.R.Anderson) W.R.Anderson, 1997","734010"
Hetbig,"Heteropterys biglandulosa A.Juss., 1840","734011"
Hetoli,"Heteropterys oligantha W.R.Anderson, 1981","906640"
Hirgra,"Hiraea gracieana W.R.Anderson, 1994","734020"
Hirlon,"Hiraea longipes W.R.Anderson, 1994","734021"
Hirmor,"Hiraea morii W.R.Anderson, 1994","734022"
Hirqua,"Hiraea quapara (Aubl.) Sprague, 1924","734023"
Jubros,"Jubelina rosea (Miq.) Nied., 1906","734025"
Lopspl,"Lophopterys splendens A.Juss., 1838","734026"
Malgui,"Malpighiodes guianensis (W.R.Anderson) W.R.Anderson, 2006","779454"
Masare,"Mascagnia arenicola C.E.Anderson, 2001","734027"
Stiang,Stigmaphyllon angustifolium (Nied.) C.E.Anderson,"672094"
Stigra,Stigmaphyllon grandifolium (Guillaumin) C.E.Anderson,"671903"
Stigym,Stigmaphyllon gymnopodum (Guillaumin) C.E.Anderson,"671904"
Stimac,Stigmaphyllon mackeeanum C.E.Anderson,"672095"
Stimcp,"Stigmaphyllon mcphersonii C.E.Anderson, 2011","671906"
Stipat,"Stigmaphyllon patricianum-firmenichianum Butaud, 2015","830192"
Stipub,"Stigmaphyllon puber (Rich.) A.Juss., 1840","630748"
Stitao,"Stigmaphyllon taomense (Baker f.) C.E.Anderson, 2011","671907"
Tetmeg,"Tetrapterys megalantha W.R.Anderson, 1981","906652"
Ourfra,"Ouratea francinae Sastre, 1986","734465"
Ourhum,"Ouratea humblotii Baill., 1886","807446"
Ourlep,"Ouratea leprieurii Tiegh., 1902","734469"
Ourlon,"Ouratea longifolia (Lam.) Engl., 1876","630280"
Ourret,"Ouratea retrorsa Sastre, 2007","779474"
Oursau,"Ouratea saulensis Sastre, 1993","986291"
Saualiara,"Sauvagesia aliciae subsp. aratayensis Sastre, 1984","740763"
Sautaf,"Sauvagesia tafelbergensis Sastre, 1970","734485"
Lacjensub,"Lacunaria jenmanii subsp. subsessilis J.V.Schneid. & Zizka, 2012","906199"
Lacumb,"Lacunaria umbonata Pires, 1953","734673"
Quigui,"Quiina guianensis Aubl., 1775","734675"
Quioia,"Quiina oiapocensis Pires, 1960","734680"
Quises,"Quiina sessilis Choisy ex Planch. & Triana, 1861","734682"
PasJus,"Passifloraceae Juss. ex Roussel, 1806 [nom. cons.]","187352"
PasDC.,"Passifloreae DC., 1828","886738"
Adebar,"Adenia barthelatii M.Pignal, Yockteng, Hearn & Labat, 2013","807174"
Dilgra,"Dilkea granvillei Feuillet, 2010","886783"
Dilvan,"Dilkea vanessae Feuillet, 2009","886773"
"PasL.,2","Passiflora L., 1753 [nom. cons.]","195873"
Pasaim,"Passiflora aimae Annonay & Feuillet, 1998","734510"
Pasamo,"Passiflora amoena L.K.Escobar, 1994","734511"
Pasand,"Passiflora andersonii DC., 1828","630326"
Pascae,"Passiflora caerulea L., 1753","112536"
Pascer,"Passiflora cerasina Annonay & Feuillet, 1997","734514"
Pascir,"Passiflora cirrhiflora Juss., 1805","734516"
Pascom,"Passiflora compar Feuillet, 2007","734518"
Pascre,"Passiflora crenata Feuillet & Cremers, 1984","734520"
Pascur,"Passiflora curva Feuillet, 2009","779475"
Pasdav,"Passiflora davidii Feuillet, 2007","779476"
Pasedu,"Passiflora edulis Sims, 1818","445877"
Pasexu,"Passiflora exura Feuillet, 1994","734521"
Pasfan,"Passiflora fanchoniae Feuillet, 1986","843335"
Pasfav,"Passiflora favardensis Kuethe, 2011","886792"
Pasfuc,"Passiflora fuchsiiflora Hemsl., 1898","734523"
Pasgab,"Passiflora gabrielliana Vanderpl., 2006","886795"
Pasgar,"Passiflora garckei Mast., 1871","734525"
Passec,"Passiflora sect. Granadillastrum Triana & Planch., 1873","886801"
Passub,"Passiflora subg. Passiflora L., 1753","886810"
Paskaw,"Passiflora kawensis Feuillet, 1994","734527"
Paslep,"Passiflora leptopoda Harms, 1917","734528"
Paslon,"Passiflora longicuspis Vanderpl. & S.E.Vanderpl., 2006","734529"
Pasmic,"Passiflora micropetala Mart. ex Mast., 1872","886826"
Pasova,"Passiflora ovata Jos.Martin ex DC., 1828","734533"
Pasplu,"Passiflora plumosa Feuillet & Cremers, 1984","734534"
Pasruf,"Passiflora rufostipulata Feuillet, 1986","734536"
Passau,"Passiflora saulensis Feuillet, 2002","734537"
Passer,"Passiflora serrato-digitata L., 1753","630331"
Pastri,"Passiflora trialata Feuillet & J.M.MacDougal, 1996","734538"
Pasves,"Passiflora vescoi Rignon, 2003","886815"
SenAub,"Senapea Aubl., 1775","731203"
Sengui,"Senapea guianensis Aubl., 1775","731543"
Turrup,"Turnera rupestris Aubl., 1775","735232"
Turruprup,"Turnera rupestris var. rupestris Aubl., 1775","741631"
Turrupfru,"Turnera rupestris var. frutescens (Aubl.) Urb., 1883","741629"
PhyMar,"Phyllanthaceae Martinov, 1820","597878"
Antmes,"Antidesma messianianum Guillaumin, 1929","670987"
PhyKos,"Phyllanthoideae Kostel., 1836","977144"
Amaneg,"Amanoa neglecta W.J.Hayden, 1990","733259"
Clesti,"Cleistanthus stipitatus (Baill.) Müll.Arg., 1866","673185"
PhyDum,"Phyllantheae Dumort., 1829","977165"
Globil,"Glochidion billardierei Baill., 1862","671134"
Globro,"Glochidion brothersonii J.Florence, 1997","448474"
Glocal,"Glochidion caledonicum Müll.Arg., 1863","671135"
Gloema,"Glochidion emarginatum J.W.Moore, 1933","447131"
Glogra,"Glochidion grantii J.Florence, 1996","447103"
Glogra2,"Glochidion grayanum (Müll.Arg.) J.Florence, 1996","447132"
Glohiv,"Glochidion hivaoaense J.Florence, 1997","447140"
Glohua,"Glochidion huahineense J.Florence, 1997","447567"
Glolon,"Glochidion longfieldiae (L.A.Riley) F.Br., 1935","447133"
Glomac,"Glochidion macphersonii Govaerts & Radcl.-Sm., 1996","671829"
Gloman,"Glochidion manono Baill. ex Müll.Arg., 1863","447134"
Glomar,"Glochidion marchionicum F.Br., 1935","447135"
Glomoo,"Glochidion moorei P.T.Li, 1982","448143"
Glomyr,"Glochidion myrtifolium J.W.Moore, 1963","447136"
Glonad,"Glochidion nadeaudii J.Florence, 1996","447141"
Glooro,"Glochidion orohenense J.W.Moore, 1940","447137"
Glopap,"Glochidion papenooense J.Florence, 1996","448358"
Glorai,Glochidion raivavense F.Br.,"447139"
Glorap,"Glochidion rapaense J.Florence, 1996","448211"
Glosoc,"Glochidion societatis J.Florence, 1997","448114"
Glotai,"Glochidion taitense Baill. ex Müll.Arg., 1863","447142"
Glotem,"Glochidion temehaniense J.W.Moore, 1963","447143"
Glotoo,"Glochidion tooviianum J.Florence, 1996","448419"
Glotua,"Glochidion tuamotuense J.Florence, 1997","447689"
Glowil,"Glochidion wilderi J.Florence, 1997","448389"
"PhyL.,3","Phyllanthus L., 1753","196193"
Phyaen,"Phyllanthus aeneus Baill., 1862","672261"
Phyaenaen,"Phyllanthus aeneus var. aeneus Baill., 1862","673008"
Phyaencor,"Phyllanthus aeneus var. cordifolius M.Schmid, 1991","673004"
Phyaenlon,"Phyllanthus aeneus var. longistylis M.Schmid, 1991","673005"
Phyaennep,"Phyllanthus aeneus var. nepouiensis M.Schmid, 1991","673006"
Phyaenpap,"Phyllanthus aeneus var. papillosus M.Schmid, 1991","673007"
Phyami,"Phyllanthus amieuensis Guillaumin, 1962","671004"
Phyaor,"Phyllanthus aoraiensis Nadeaud, 1873","445643"
Phyaou,Phyllanthus aoupinieensis M.Schmid,"671005"
Phyart,"Phyllanthus artensis M.Schmid, 1991","671006"
Phyava,"Phyllanthus avanguiensis M.Schmid, 1991","671007"
Phybal,"Phyllanthus baladensis Baill., 1862","671008"
Phybal2,"Phyllanthus balansaeanus Guillaumin, 1929","672262"
Phybalbal,"Phyllanthus balansaeanus var. balansaeanus Guillaumin, 1929","673010"
Phybalgla,"Phyllanthus balansaeanus var. glaber M.Schmid, 1991","673009"
Phybar,"Phyllanthus baraouaensis M.Schmid, 1991","671009"
Phybog,"Phyllanthus boguenensis M.Schmid, 1991","671010"
Phybup,"Phyllanthus bupleuroides Baill., 1862","672263"
Phybupbup,"Phyllanthus bupleuroides var. bupleuroides Baill., 1862","673013"
Phybuplat,"Phyllanthus bupleuroides var. latiaxialis M.Schmid, 1991","674454"
Phybupmeo,"Phyllanthus bupleuroides var. meoriensis M.Schmid, 1991","674154"
Phybupngo,"Phyllanthus bupleuroides var. ngoyensis (Schltr.) M.Schmid, 1991","673011"
Phybuppor,"Phyllanthus bupleuroides var. poroensis M.Schmid, 1991","673012"
Phybux,"Phyllanthus buxoides Guillaumin, 1929","672055"
Phycal,"Phyllanthus calcicola M.Schmid, 1991","671011"
Phycar,"Phyllanthus carlottae M.Schmid, 1991","671012"
Phycas,"Phyllanthus casearioides S.Moore, 1921","672056"
Phycas2,"Phyllanthus castus S.Moore, 1921","671013"
Phycau,"Phyllanthus caudatus Müll.Arg., 1866","672264"
Phycaucau,"Phyllanthus caudatus var. caudatus Müll.Arg., 1866","674155"
Phycaupub,"Phyllanthus caudatus var. pubescens M.Schmid, 1991","673014"
Phycha2,"Phyllanthus chamaecerasus Baill., 1862","672265"
Phychacha,"Phyllanthus chamaecerasus var. chamaecerasus Baill., 1862","673018"
Phychaaou,"Phyllanthus chamaecerasus var. aoupinieensis M.Schmid, 1991","674469"
Phychaint,"Phyllanthus chamaecerasus var. intermedius M.Schmid, 1991","673015"
Phychalon,"Phyllanthus chamaecerasus var. longipedicellatus M.Schmid, 1991","674156"
Phychameo,"Phyllanthus chamaecerasus var. meoriensis M.Schmid, 1991","673016"
Phychavie,"Phyllanthus chamaecerasus var. vieillardii (Baill.) M.Schmid, 1991","673017"
Phyche,"Phyllanthus cherrieri M.Schmid, 1991","672057"
Phychr,"Phyllanthus chrysanthus Baill., 1862","672266"
Phychrchr,"Phyllanthus chrysanthus var. chrysanthus Baill., 1862","674157"
Phychrdev,"Phyllanthus chrysanthus var. deverdensis M.Schmid, 1991","673019"
Phychrmic,"Phyllanthus chrysanthus var. micrantheoides (Baill.) M.Schmid, 1991","673020"
Phycom,"Phyllanthus comptonii S.Moore, 1921","671669"
Phycon,"Phyllanthus conjugatus M.Schmid, 1991","672267"
Phyconcon,"Phyllanthus conjugatus var. conjugatus M.Schmid, 1991","674158"
Phyconduc,"Phyllanthus conjugatus var. ducosensis M.Schmid, 1991","673021"
Phyconmaa,"Phyllanthus conjugatus var. maaensis M.Schmid, 1991","673022"
Phycon2,"Phyllanthus consanguineus Müll.Arg., 1866","706641"
Phycor3,"Phyllanthus cornutus Baill., 1862","671015"
Phydec,"Phyllanthus deciduiramus Däniker, 1931","671016"
Phydep,"Phyllanthus deplanchei Müll.Arg., 1863","672058"
Phydor,Phyllanthus dorotheae M.Schmid,"671017"
Phydra,"Phyllanthus dracunculoides Baill., 1862","672268"
Phydradra,"Phyllanthus dracunculoides var. dracunculoides Baill., 1862","673024"
Phydraami,"Phyllanthus dracunculoides var. amieuensis M.Schmid, 1991","673023"
Phydratiw,"Phyllanthus dracunculoides var. tiwakaensis M.Schmid, 1991","674159"
Phydum,"Phyllanthus dumbeaensis M.Schmid, 1991","671018"
Phydzu,"Phyllanthus dzumacensis M.Schmid, 1991","671019"
Phyfag,"Phyllanthus faguetii Baill., 1862","672269"
Phyfagfag,"Phyllanthus faguetii var. faguetii Baill., 1862","673026"
Phyfagbre,"Phyllanthus faguetii var. brevipedicellatus M.Schmid, 1991","674160"
Phyfaggra,Phyllanthus faguetii var. gracilipedicellatus M.Schmid,"674455"
Phyfaglif,"Phyllanthus faguetii var. lifuensis (Guillaumin) M.Schmid, 1991","673025"
Phyfagrho,"Phyllanthus faguetii var. rhombifolius M.Schmid, 1991","674161"
Phyfav,"Phyllanthus favieri M.Schmid, 1991","672270"
Phyfavfav,"Phyllanthus favieri var. favieri M.Schmid, 1991","674470"
Phyfavkaa,"Phyllanthus favieri var. kaalaensis M.Schmid, 1991","673027"
Phyfra,"Phyllanthus fractiflexus M.Schmid, 1991","672059"
Phyfra2,"Phyllanthus francii Guillaumin, 1927","671020"
Phygne,"Phyllanthus gneissicus S.Moore, 1921","672271"
Phygnegne,"Phyllanthus gneissicus var. gneissicus S.Moore, 1921","673030"
Phygnebro,"Phyllanthus gneissicus var. broumoiriensis M.Schmid, 1991","673028"
Phygneram,"Phyllanthus gneissicus var. ramosus M.Schmid, 1991","674162"
Phygneton,"Phyllanthus gneissicus var. toninensis (S.Moore) M.Schmid, 1991","673029"
Phygol,"Phyllanthus golonensis M.Schmid, 1991","672438"
Phygui,"Phyllanthus guillauminii Däniker, 1932","671021"
Phyhel,"Phyllanthus helenae M.Schmid, 1991","671022"
Phyhou,"Phyllanthus houailouensis M.Schmid, 1991","671023"
Physec,"Phyllanthus sect. Tenellanthus Jean F.Brunel, 1987","979607"
Physub2,"Phyllanthus subg. Tenellanthus Jean F.Brunel, 1987","979606"
Phyjaf,"Phyllanthus jaffrei M.Schmid, 1991","671024"
Phyjau,"Phyllanthus jaubertii Vieill. ex Guillaumin, 1929","672272"
Phyjaubra,"Phyllanthus jaubertii var. brachypoda Guillaumin, 1929","674481"
Phyjaujau,"Phyllanthus jaubertii var. jaubertii Vieill. ex Guillaumin, 1929","674471"
Phykan,"Phyllanthus kanalensis Baill., 1862","671025"
Phykog,"Phyllanthus koghiensis Guillaumin, 1929","671026"
Phykon,"Phyllanthus koniamboensis M.Schmid, 1991","672273"
Phykonkon,"Phyllanthus koniamboensis var. koniamboensis M.Schmid, 1991","673032"
Phykontao,"Phyllanthus koniamboensis var. taomensis M.Schmid, 1991","673031"
Phykou,"Phyllanthus kouaouaensis M.Schmid, 1991","671027"
Phykou2,"Phyllanthus koumacensis Guillaumin, 1965","672274"
Phykoukou,"Phyllanthus koumacensis var. koumacensis Guillaumin, 1965","673034"
Phykoubre,Phyllanthus koumacensis var. brevitepalus M.Schmid,"673033"
Phylig,"Phyllanthus ligustrifolius S.Moore, 1921","672275"
Phyliglig,"Phyllanthus ligustrifolius var. ligustrifolius S.Moore, 1921","673037"
Phyligbou,"Phyllanthus ligustrifolius var. boulindaensis M.Schmid, 1991","673035"
Phyligcol,"Phyllanthus ligustrifolius var. colnettensis M.Schmid, 1991","673036"
Phylon,"Phyllanthus longiramosus Guillaumin ex M.Schmid, 1991","671028"
Phylor,"Phyllanthus loranthoides Baill., 1862","672277"
Phylorlor,"Phyllanthus loranthoides var. loranthoides Baill., 1862","673040"
Phylorlon,"Phyllanthus loranthoides var. longifolius M.Schmid, 1991","673038"
Phylorrip,Phyllanthus loranthoides var. ripicola M.Schmid,"673039"
Phyluc,"Phyllanthus luciliae M.Schmid, 1991","672060"
Phymac,"Phyllanthus macrochorion Baill., 1862","671029"
Phyman,"Phyllanthus mandjeliaensis M.Schmid, 1991","671030"
Phyman2,"Phyllanthus mangenotii M.Schmid, 1991","672061"
Phymar,"Phyllanthus margaretiae M.Schmid, 1991","672439"
Phymcp,"Phyllanthus mcphersonii M.Schmid, 1991","671031"
Phymem,"Phyllanthus memaoyaensis M.Schmid, 1991","672062"
Phymeu,"Phyllanthus meuieensis M.Schmid, 1991","671032"
Phymon,"Phyllanthus montis-fontium M.Schmid, 1991","671033"
Phymon2,"Phyllanthus montrouzieri Guillaumin, 1913","672278"
Phymonmon,"Phyllanthus montrouzieri var. montrouzieri Guillaumin, 1913","673043"
Phymonpan,"Phyllanthus montrouzieri var. pandopensis M.Schmid, 1991","674163"
Phymonpoy,"Phyllanthus montrouzieri var. poyaensis M.Schmid, 1991","673041"
Phymoo,"Phyllanthus moorei M.Schmid, 1991","672279"
Phymoomoo,"Phyllanthus moorei var. moorei M.Schmid, 1991","674164"
Phymooacu,"Phyllanthus moorei var. acutitepalus M.Schmid, 1991","673044"
Phymor,"Phyllanthus moratii M.Schmid, 1991","671034"
Phymou,"Phyllanthus mouensis M.Schmid, 1991","671035"
Phynat,"Phyllanthus natoensis M.Schmid, 1991","672063"
Phynin,"Phyllanthus ningaensis M.Schmid, 1991","671036"
Phynir,"Phyllanthus niruri L., 1753","611776"
Phynit,"Phyllanthus nitens M.Schmid, 1991","672064"
Phynot,"Phyllanthus nothisii M.Schmid, 1991","672280"
Phynotnot,"Phyllanthus nothisii var. nothisii M.Schmid, 1991","674472"
Phynotalt,"Phyllanthus nothisii var. alticola M.Schmid, 1991","673045"
Phyouv,"Phyllanthus ouveanus Däniker, 1931","672065"
Phypac,"Phyllanthus pacificus Müll.Arg., 1863","446588"
Phypan,"Phyllanthus pancherianus Baill., 1862","672281"
Phypanpan,Phyllanthus pancherianus var. pancherianus Baill.,"673048"
Phypankop,"Phyllanthus pancherianus var. kopetoensis M.Schmid, 1991","673046"
Phypanmem,"Phyllanthus pancherianus var. memaoyaensis M.Schmid, 1991","673047"
Phypannak,"Phyllanthus pancherianus var. nakadaensis M.Schmid, 1991","674165"
Phypar,"Phyllanthus parainduratus M.Schmid, 1991","671037"
Phypar2,"Phyllanthus parangoyensis M.Schmid, 1991","672066"
Phypau,"Phyllanthus paucitepalus M.Schmid, 1991","671038"
Phypel,"Phyllanthus peltatus Guillaumin, 1929","671039"
Phypet,"Phyllanthus petchikaraensis M.Schmid, 1991","671040"
Phyphi,"Phyllanthus phillyreifolius Poir., 1804","706645"
Phyphiphi,"Phyllanthus phillyreifolius var. phillyreifolius Poir., 1804","707203"
Phyphicra,"Phyllanthus phillyreifolius var. crassistigma Coode, 1978","707158"
Phypil,"Phyllanthus pilifer M.Schmid, 1991","672282"
Phypilpil,"Phyllanthus pilifer var. pilifer M.Schmid, 1991","673049"
Phypilgra,"Phyllanthus pilifer var. grandieensis M.Schmid, 1991","674166"
Phypin,"Phyllanthus pindaiensis M.Schmid, 1991","671041"
Phypin2,"Phyllanthus pinjenensis M.Schmid, 1991","672067"
Phypla,"Phyllanthus platycalyx Müll.Arg., 1866","672283"
Phyplapla,"Phyllanthus platycalyx var. platycalyx Müll.Arg., 1866","673050"
Phyplaang,"Phyllanthus platycalyx var. angustifolius Guillaumin, 1929","673721"
Phypol,"Phyllanthus polygynus M.Schmid, 1991","672440"
Phypou,"Phyllanthus poueboensis M.Schmid, 1991","672068"
Phypou2,"Phyllanthus poumensis Guillaumin, 1929","672284"
Phypoupou,"Phyllanthus poumensis var. poumensis Guillaumin, 1929","674167"
Phypoulon,"Phyllanthus poumensis var. longistylis M.Schmid, 1991","673051"
Phypoulon2,Phyllanthus poumensis var. longitepalus M.Schmid,"673052"
Phypro,"Phyllanthus pronyensis Guillaumin, 1927","671042"
Phypro2,"Phyllanthus protoguayanensis Herter, 1939","904687"
Phypse,"Phyllanthus pseudotrichopodus M.Schmid, 1991","671043"
Phypte,"Phyllanthus pterocladus S.Moore, 1921","671044"
Phyqui,"Phyllanthus quintuplinervis M.Schmid, 1991","672285"
Phyquiqui,Phyllanthus quintuplinervis var. quintuplinervis M.Schmid,"673053"
Phyquimeo,"Phyllanthus quintuplinervis var. meoriensis M.Schmid, 1991","674168"
Phyrho,"Phyllanthus rhodocladus S.Moore, 1921","671045"
Phyroz,"Phyllanthus rozennae M.Schmid, 1991","672069"
Physal,"Phyllanthus salicifolius Baill., 1862","671046"
Physar,"Phyllanthus sarasinii Guillaumin, 1929","671047"
Physer2,"Phyllanthus serpentinus S.Moore, 1921","671204"
Physte,"Phyllanthus stenophyllus Guillaumin, 1929","671205"
Physti,"Phyllanthus stipitatus M.Schmid, 1991","671206"
Physti2,"Phyllanthus stipulatus (Raf.) G.L.Webster, 1955","630402"
Physyl,"Phyllanthus sylvincola S.Moore, 1921","671207"
Phytan,"Phyllanthus tangoensis M.Schmid, 1991","671208"
Phyten,"Phyllanthus tenellus Roxb., 1832","113295"
Phyten2,"Phyllanthus tenuipedicellatus M.Schmid, 1991","672287"
Phytenten,"Phyllanthus tenuipedicellatus var. tenuipedicellatus M.Schmid, 1991","673274"
Phytenkal,"Phyllanthus tenuipedicellatus var. kaloueholaensis M.Schmid, 1991","673272"
Phytenton,"Phyllanthus tenuipedicellatus var. tontoutaensis M.Schmid, 1991","673273"
Phytie,"Phyllanthus tiebaghiensis M.Schmid, 1991","671209"
Phytir,"Phyllanthus tireliae M.Schmid, 1991","671210"
Phytix,"Phyllanthus tixieri M.Schmid, 1991","672441"
Phytor,"Phyllanthus torrentium Müll.Arg., 1866","672288"
Phytortor,"Phyllanthus torrentium var. torrentium Müll.Arg., 1866","673276"
Phytorind,Phyllanthus torrentium var. induratus (S.Moore) M.Schmid,"673275"
Phytri,"Phyllanthus trichopodus Guillaumin, 1929","671211"
Phytri2,"Phyllanthus tritepalus M.Schmid, 1991","671212"
Phyumb,"Phyllanthus umbricola Guillaumin, 1929","671213"
Phyuni,"Phyllanthus unifoliatus M.Schmid, 1991","671214"
Phyuni2,"Phyllanthus unioensis M.Schmid, 1991","671215"
Phyurc,"Phyllanthus urceolatus Baill., 1862","445648"
Phyval,"Phyllanthus valeriae M.Schmid, 1991","671216"
Phyvei,"Phyllanthus veillonii M.Schmid, 1991","671217"
Phyves,"Phyllanthus vespertilio Baill., 1862","671218"
Phyvir2,Phyllanthus virgultiramus Däniker,"671971"
Phyvul,"Phyllanthus vulcani Guillaumin, 1962","672289"
Phyvulvul,"Phyllanthus vulcani var. vulcani Guillaumin, 1962","673278"
Phyvulbau,"Phyllanthus vulcani var. baumannii Guillaumin ex M.Schmid, 1991","673277"
Phyyao,"Phyllanthus yaouhensis Schltr., 1906","671973"
Phyyve,"Phyllanthus yvettae M.Schmid, 1991","671219"
PorGrü,"Poranthereae Grüning, 1913","977163"
"AndL.,4","Andrachne L., 1753","189148"
Andtel,"Andrachne telephioides L., 1753","82414"
Ausalt,"Austrobuxus alticola McPherson, 1985","674004"
Ausbre,"Austrobuxus brevipes Airy Shaw, 1978","672968"
Auscar,"Austrobuxus carunculatus (Baill.) Airy Shaw, 1971","672969"
Ausclu,"Austrobuxus clusiaceus (Baill.) Airy Shaw, 1971","672970"
Auscra,"Austrobuxus cracens McPherson, 1987","672971"
Ausell,"Austrobuxus ellipticus McPherson, 1985","672973"
Auseug,"Austrobuxus eugeniifolius (Guillaumin) Airy Shaw, 1974","672974"
Aushue,"Austrobuxus huerlimannii Airy Shaw, 1974","674421"
Ausman,"Austrobuxus mandjelicus McPherson, 1985","672975"
Ausmon,"Austrobuxus montis-do Airy Shaw, 1978","672976"
Ausova,"Austrobuxus ovalis Airy Shaw, 1974","672977"
Auspau,"Austrobuxus pauciflorus Airy Shaw, 1974","672978"
Ausrub,"Austrobuxus rubiginosus (Guillaumin) Airy Shaw, 1978","672979"
Ausvie,"Austrobuxus vieillardii (Guillaumin) Airy Shaw, 1971","672980"
LonBai,"Longetia Baill., 1866","672666"
Lonbux,"Longetia buxoides Baill., 1862","674015"
ScaMcP,"Scagea McPherson, 1986","672764"
Scadep,"Scagea depauperata (Baill.) McPherson, 1985","673279"
Scaoli,"Scagea oligostemon (Guillaumin) McPherson, 1985","673280"
Apiarm,"Apinagia arminensis P.Royen, 1951","734609"
Apibatlon,"Apinagia batrachifolia var. longistyla P.Royen, 1951","847463"
Apicri,"Apinagia crispa P.Royen, 1951","847464"
Apidig,"Apinagia digitata P.Royen, 1951","734611"
Apifle,"Apinagia flexuosa (Tul.) P.Royen, 1951","734613"
Apigoe,"Apinagia goejei Went, 1910","847465"
Apiguy,"Apinagia guyanensis (Pulle) P.Royen, 1951","734614"
Apiita,"Apinagia itanensis Schnell, 1969","734615"
Apilon,"Apinagia longifolia (Tul.) P.Royen, 1951","734617"
Apimar,"Apinagia marowynensis (Went) P.Royen, 1951","735495"
Apipla,"Apinagia platystigma P.Royen, 1951","847466"
Apiric,"Apinagia richardiana (Tul.) P.Royen, 1951","734618"
Marcap,"Marathrum capillaceum (Pulle) P.Royen, 1951","734620"
Wedsqu,"Weddellina squamulosa Tul., 1849","734625"
Drycau,"Drypetes caustica (Frapp. ex Cordem.) Airy Shaw, 1972","706215"
Drycom,"Drypetes comorensis (Baill.) Pax & K. Hoffm., 1922","807319"
Drydar,"Drypetes darcyana McPherson, 2000","807320"
Drydus,"Drypetes dussii Krug & Urb., 1892","629589"
Drygla,"Drypetes glauca Vahl, 1807","629590"
Casova,"Cassipourea ovata Tul., 1856","807233"
Crogra,Crossostylis grandiflora Pancher ex Brongn. & Gris,"671454"
Cromul,"Crossostylis multiflora Brongn. & Gris ex Pancher & Sebert, 1873","671455"
Croseb,Crossostylis seberti Pancher ex Brongn. & Gris,"672183"
Rhixtom,"Rhizophora x tomlinsonii N.C.Duke, 2010","671896"
Rhisamneo,Rhizophora samoensis var. neocaledonia N.C.Duke,"673953"
SalMir,"Salicaceae Mirb., 1815","187249"
LasF. ,"Lasiochlamys F. Pax & K. Hoffm., 1922","672655"
Lascor,Lasiochlamys cordifolia Sleumer,"673282"
Lascor2,Lasiochlamys coriacea Sleumer,"674428"
Lasfas,Lasiochlamys fasciculata (Guillaumin) Sleumer,"674043"
Lashue,Lasiochlamys huerlimannii (Guillaumin) Sleumer,"673283"
Laskog,Lasiochlamys koghiensis (Guillaumin) Sleumer,"673284"
Lasman,"Lasiochlamys mandjeliana Sleumer, 1974","673285"
Laspla,Lasiochlamys planchonellifolia (Guillaumin) Sleumer,"674044"
Laspse,"Lasiochlamys pseudocoriacea Sleumer, 1974","673286"
Lasret,Lasiochlamys reticulata (Schltr.) Pax & K.Hoffm.,"673287"
Lasriv,Lasiochlamys rivularis Sleumer,"673288"
Lastri2,Lasiochlamys trichostemona (Guillaumin) Sleumer,"673289"
Ludcom,"Ludia comorensis H. Perrier, 1940","807390"
Scocor,"Scolopia coriacea Tul., 1868","807528"
Scohet,"Scolopia heterophylla (Lam.) Sleumer, 1972","706780"
Scomao,"Scolopia maoulidae Hul, Labat & O. Pascal, 1998","807529"
Xylber,Xylosma bernardianum Sleumer,"671983"
Xylbou,Xylosma boulindae Sleumer,"671238"
Xylcap,"Xylosma capillipes Guillaumin, 1935","671239"
Xylcon,Xylosma confusa Guillaumin,"671240"
Xyldot,Xylosma dothioense Guillaumin,"671241"
Xylgig,Xylosma gigantifolia Sleumer,"671242"
Xylgro,Xylosma grossecrenata (Sleumer) Lescot,"671243"
Xylina,Xylosma inaequinervia Sleumer,"671244"
Xylkaa,Xylosma kaalaense Sleumer,"671245"
Xyllan,"Xylosma lancifolia Sleumer, 1974","671246"
Xyllif,"Xylosma lifuana Guillaumin, 1920","671247"
Xylmol,Xylosma molesta Sleumer,"671248"
Xylner,"Xylosma nervosa Guillaumin, 1920","672452"
Xylpan2,"Xylosma pancheri Guillaumin, 1920","671249"
Xylpel,Xylosma peltata (Sleumer) Lescot,"671250"
Xylpin,Xylosma pininsulare Guillaumin,"671251"
Xylser,Xylosma serpentina Sleumer,"671252"
Xylsua,Xylosma suaveolens (J.R.Forst. & G.Forst.) G.Forst.,"447224"
Xylsuasua,Xylosma suaveolens subsp. suaveolens (J.R.Forst. & G.Forst.) G.Forst.,"448662"
Xylsuagra,"Xylosma suaveolens subsp. gracile (Hemsl.) Sleumer, 1938","448659"
Xylsuapub,"Xylosma suaveolens subsp. pubigerum Sleumer, 1938","448661"
Xyltub,Xylosma tuberculata Sleumer,"671253"
Xylvin,Xylosma vincentii Guillaumin,"671091"
Homaus,Homalium austrocaledonicum Seem.,"671228"
Hombet,"Homalium betulifolium Däniker, 1933","671229"
Hombux,Homalium buxifolium Däniker,"671977"
Homdec,Homalium decurrens (Vieill.) Briq.,"672451"
Homdep,Homalium deplanchei (Vieill.) Warb.,"671230"
Homfra,"Homalium francii Guillaumin, 1925","671978"
Homgui,"Homalium guillainii (Vieill.) Briq., 1898","671231"
Homint,Homalium intermedium (Vieill.) Briq.,"671232"
