TRIGRAMME,NOM_VALIDE,CD_NOM
Clonav,"Closterium navicula (Breb.) Lütkem., 1905","73710"
Clonor,"Closterium nordstedtii Chodat, 1898","73711"
Clonorpol,"Closterium nordstedtii var. polystictum (Nygaard) Ruzicka, 1975","999332"
Clopar,"Closterium parvulum Nägeli, 1849","73712"
Cloparang,"Closterium parvulum var. angustum West & G.S.West, 1900","648810"
Cloparcor,"Closterium parvulum var. cornutum (Playfair) Willi Krieger, 1937","999384"
Cloparmai,"Closterium parvulum var. maius (Schmidle) Willi Krieg., 1935","648811"
Clopra,"Closterium praegrande Rabenh., 1863","648812"
Clopra2,Closterium praelongum Breb.,"73714"
Clopri,Closterium pritchardianum Archer.,"73715"
Clopro,Closterium pronum Breb.,"73716"
Clopse,"Closterium pseudolunula Borge, 1909","648813"
Clopse2,"Closterium pseudopusillum Messikommer, 1956","648814"
Clopus,Closterium pusillum Hantzsch,"73717"
Clopyg,Closterium pygmaeum Gutn.,"73718"
Cloral,Closterium ralfsii Breb.,"73719"
Cloralhyb,Closterium ralfsii var. hybridum Rabenh.,"73720"
Cloreg,"Closterium regulare Bréb., 1856","648815"
Cloros,Closterium rostratum Ehrenberg,"73721"
Clorosbre,"Closterium rostratum var. brevirostratum West, 1889","648816"
Cloroslae,"Closterium rostratum var. laevigatum Bréb., 1856","648817"
Closet,Closterium setaceum Ehrenberg,"73723"
Closetelo,"Closterium setaceum var. elongatum West & G.S.West, 1905","648818"
Closetvit,"Closterium setaceum var. vittatum Grönblad, 1945","648819"
Clos-r,"Closterium s-romanum Hub.-Pest., 1925","999383"
Clostr,"Closterium strigosum Bréb., 1856","73724"
Clostrele,"Closterium strigosum var. elegans (G.S.West) Willi Krieg., 1935","73725"
Clostr2,Closterium striolatum Ehrb.,"73726"
Clostrsub,"Closterium striolatum var. subtruncatum (West & G.S.West) Willi Krieg., 1935","648823"
Closub,"Closterium subjuncidiforme Grönblad, 1920","648824"
Closub2,"Closterium sublaterale R?ži?ka, 1958","894981"
Closub3,"Closterium subscoticum Gutw., 1902","720036"
Closub4,"Closterium subtile Bréb., 1856","648826"
Closub5,Closterium subulatum (Kutz.) Breb.,"73728"
Clotet,"Closterium tetractinium F.Gay, 1884","648828"
Clotox,Closterium toxon West.,"73729"
Clotum,"Closterium tumidulum F.Gay, 1884","648829"
Clotum2,Closterium tumidum Johns.,"73730"
Clotummin,"Closterium tumidum f. minus K.M.Strøm, 1926","648830"
Clotumnyl,"Closterium tumidum var. nylandicum Grönblad, 1921","648831"
Clotur,Closterium turgidum Ehrenb.,"73731"
Cloturbor,"Closterium turgidum var. borgei Deflandre, 1925","648832"
Cloulnstr,"Closterium ulna f. striatum Prescott, 1975","648834"
Cloven,"Closterium venus Kütz. ex Ralfs, 1848","73733"
Clovenwes,"Closterium venus var. westii Willi Krieger, 1935","894982"
Clowal,"Closterium wallichii W.B.Turner, 1892","648835"
DesRal,"Desmidiaceae Ralfs, 1848","525144"
Act(Nä,"Actinotaenium (Nägeli) Teiling, 1954","188805"
Actcap,"Actinotaenium capax (Joshua) Teiling, 1954","719920"
Actcapmin,"Actinotaenium capax var. minus (Schmidle) Teiling ex Ruzicka & Pouzar, 1978","719922"
Actcle,"Actinotaenium clevei (P.Lundell) Teiling, 1954","999292"
Actcol,"Actinotaenium colpopelta (Bréb. ex W.Archer) Compère, 1976","670118"
Actcru,"Actinotaenium cruciferum (De Bary) Teiling, 1954","653283"
Actcuc,"Actinotaenium cucurbita (Bréb. ex Ralfs) Teiling, 1954","627011"
Actcuc2,"Actinotaenium cucurbitinum (Bisset) Teiling, 1954","627012"
Actcucmin,"Actinotaenium cucurbitinum f. minus (West & G.S.West) Teiling, 1954","720029"
Actcucmin2,"Actinotaenium cucurbitinum var. minutum (Prescott) G.H.Tomaszewicz, 1988","894913"
Actcur,"Actinotaenium curtum (Bréb. ex Ralfs) Teiling, 1978","73409"
Actcurmin,"Actinotaenium curtum f. minus (Rabenh.) Teiling ex Croasdale, 1981","720953"
Actcuratt,"Actinotaenium curtum var. attenuatum (Bréb. ex Ralfs) Teiling ex Ruzicka & Pouzar, 1978","652713"
Actdid,"Actinotaenium didymocarpum (P.Lundell) Coesel & Delfos, 1986","652714"
Actdip,"Actinotaenium diplosporum (P.Lundell) Teiling, 1954","627013"
Actdipmaj,"Actinotaenium diplosporum f. majus (W.West) Teiling, 1954","652715"
Actgen,"Actinotaenium geniculatum Kouwets, 1988","652716"
Actglo,"Actinotaenium globosum (Bulnh.) K.Förster ex Compère, 1976","648950"
Actglomin,"Actinotaenium globosum f. minus (Boldt) Förster ex Compère, 1976","648952"
Actinc,"Actinotaenium inconspicuum (West & G.S.West) Teiling, 1954","652717"
Actinccur,"Actinotaenium inconspicuum var. curvatum Kouwets, 1991","652718"
Actkri,"Actinotaenium kriegeri (Messikommer) Kouwets, 1997","652719"
Actmes,"Actinotaenium messikommeri Ruzicka & Pouzar, 1978","652720"
Actmin,"Actinotaenium minutissimum (Nordst.) Teiling, 1954","835185"
Actmoo,"Actinotaenium mooreanum (W.Archer) Teiling, 1954","652721"
Actobc,"Actinotaenium obcuneatum (W.West) Teiling, 1954","652722"
Actpal,"Actinotaenium palangula (Bréb. ex Ralfs) Teiling, 1954","652723"
Actper,"Actinotaenium perminutum (G.S.West) Teiling, 1954","652724"
Actphy,Actinotaenium phymatosporum Nordst.,"73412"
Actpin,"Actinotaenium pinicola Rosa, 1959","652725"
Actruf,"Actinotaenium rufescens (Cleve) Teiling, 1954","652727"
Actsil,"Actinotaenium silvae-nigrae (Rabanus) Kouwets & Coesel, 1984","652729"
Actsilpar,"Actinotaenium silvae-nigrae var. parallelum (Willi Krieg.) Kouwets & Coesel, 1984","652730"
Actspi,"Actinotaenium spinospermum (Joshua) Kouwets & Coesel, 1984","626979"
Actsub,"Actinotaenium subtile (West & G.S.West) Teiling, 1954","652731"
Acttru,Actinotaenium truncatum (Breb.) Teil.,"73413"
Acttur,"Actinotaenium turgidum (Bréb. ex Ralfs) Teiling, 1954","652732"
Actwol,"Actinotaenium wollei (West & G.S.West) Teiling, 1954","652734"
BamKüt,"Bambusina Kütz. ex Kütz., 1849","189732"
Bambor,"Bambusina borreri (Ralfs) Cleve, 1864","73473"
CosCor,"Cosmarium Corda ex Ralfs, 1848","191201"
Cosabb,"Cosmarium abbreviatum Racib., 1885","73764"
Cosabbger,"Cosmarium abbreviatum var. germanicum (Racib.) Willi Krieg. & Gerloff, 1969","648848"
Cosabbmin,"Cosmarium abbreviatum var. minus (West & G.S.West) Willi Krieg. & Gerloff, 1969","648849"
Cosabr,"Cosmarium abruptum P.M.Lundell, 1871","648850"
Cosado,"Cosmarium adoxum West & G.S.West, 1897","648851"
Cosadoden,"Cosmarium adoxum var. denticulatum G.S.West, 1914","648852"
Cosalp,"Cosmarium alpestre J.Roy & Bisset in J.Roy, 1893","648853"
Cosalp2,"Cosmarium alpicolum Schmidle, 1895","792098"
Cosamo,"Cosmarium amoenum Bréb. ex Ralfs, 1848","73768"
Cosamomed,"Cosmarium amoenum var. mediolaeve Nordst., 1887","648854"
Cosanc,Cosmarium anceps Lund.,"73769"
Cosang,"Cosmarium angulare L.N.Johnson, 1894","965563"
Cosang2,"Cosmarium angulosum Bréb., 1856","73770"
Cosangcon,"Cosmarium angulosum var. concinnum (Rabenh.) West & G.S.West, 1901","73771"
Cosani,"Cosmarium anisochondrum Nordst., 1878","648855"
Cosann,"Cosmarium annulatum (Nägeli) De Bary, 1858","73772"
Cosaph,"Cosmarium aphanichondrum Nordst., 1876","720964"
Cosarc,"Cosmarium arctoum Nordst., 1875","73774"
Cosarccon,"Cosmarium arctoum var. constrictum Gronblad & Scott, 1958","648860"
Cosasp,"Cosmarium asphaerosporum Wittrock, 1879","73776"
Cosaspcor,"Cosmarium asphaerosporum var. corribense (West & G.S.West) Willi Krieg. & Gerloff, 1969","627017"
Cosaspstr,Cosmarium asphaerosporum var. strigosum Nordst.,"73777"
Cosast,"Cosmarium asterosporum Coesel, 1989","648861"
Cosasy,"Cosmarium asymmetricum Rich, 1935","648862"
Cosbai,"Cosmarium baileyi Wolle, 1884","648863"
Cosbal,"Cosmarium balteum W. West & G.S West, 1896","719860"
Cosbalcol,"Cosmarium balteum var. coloradense Cushman, 1904","719862"
Cosber,"Cosmarium berryense Kouwets, 1998","648865"
Cosbic,"Cosmarium bicuneatum (F.Gay) Nordst., 1889","792099"
Cosbin,"Cosmarium binodulum Reinsch, 1875","648866"
Cosbin2,Cosmarium binum Nordst.,"73779"
Cosbio,"Cosmarium bioculatum Bréb. ex Ralfs, 1848","73780"
Cosbiocan,"Cosmarium bioculatum var. canadense Willi Krieg. & Gerloff, 1962","648867"
Cosbiodep,"Cosmarium bioculatum var. depressum (Schaarschmidt) Schmidle, 1894","648868"
Cosbiohia,Cosmarium bioculatum var. hians West,"73781"
Cosbip,Cosmarium bipunctatum Borg.,"73782"
Cosbir,"Cosmarium bireme Nordst., 1888","648869"
Cosbir2,"Cosmarium biretum Bréb. ex Ralfs, 1848","625805"
Cosbirtri,"Cosmarium biretum var. trigibberum Nordst., 1875","719863"
Cosbis,"Cosmarium biscarrossense Capdev., 1983","648870"
